name,mean,std,rank,type,votes,url
关于我转生变成史莱姆这档事,6.647,1.151,4431,Anime,13983,https://bangumi.tv/subject/239816
石纪元,7.237,1.043,1656,Anime,8695,https://bangumi.tv/subject/266794
顶点!!!!!!!!!!!!!!!,7.064,1.068,2314,Anime,1753,https://bangumi.tv/subject/364845
碧蓝之海,7.869,1.154,329,Anime,17333,https://bangumi.tv/subject/235130
虹四动画,6.885,1.179,3065,Anime,1379,https://bangumi.tv/subject/401960
BanG Dream! 少女乐团派对！☆PICO FEVER！,7.354,1.049,1275,Anime,1648,https://bangumi.tv/subject/338400
LoveLive！虹咲学园学园偶像同好会 NEXT SKY,6.843,1.102,3264,Anime,1258,https://bangumi.tv/subject/408883
BanG Dream! 少女乐团派对！☆PICO～大份～,7.401,1.06,1152,Anime,2041,https://bangumi.tv/subject/296295
天气之子,7.142,1.216,2008,Anime,18381,https://bangumi.tv/subject/269235
铃芽之旅,6.576,1.195,4891,Anime,14748,https://bangumi.tv/subject/362577
千与千寻,8.632,1.06,28,Anime,26570,https://bangumi.tv/subject/311
约定的梦幻岛,7.566,1.013,763,Anime,11935,https://bangumi.tv/subject/243916
约定的梦幻岛 第二季,3.348,1.736,10042,Anime,3575,https://bangumi.tv/subject/279202
工作细胞,6.923,0.983,2921,Anime,12988,https://bangumi.tv/subject/235612
漆黑的子弹,6.499,1.159,5354,Anime,7459,https://bangumi.tv/subject/84873
甘城光辉游乐园,6.992,1.045,2629,Anime,14916,https://bangumi.tv/subject/93545
四重星,6.023,1.4,7341,Anime,478,https://bangumi.tv/subject/469877
可塑性记忆,7.015,1.26,2535,Anime,12297,https://bangumi.tv/subject/114685
人形电脑天使心,7.493,1.15,919,Anime,5317,https://bangumi.tv/subject/12
宝石之国,7.619,1.014,672,Anime,11443,https://bangumi.tv/subject/214799
赤发白雪姬,6.914,1.057,2962,Anime,3491,https://bangumi.tv/subject/126034
少女终末旅行,8.13,1.056,163,Anime,16404,https://bangumi.tv/subject/218707
欢迎来到实力至上主义的教室,6.178,1.281,7093,Anime,15205,https://bangumi.tv/subject/214272
末日时在做什么？有没有空？可以来拯救吗？,7.622,1.204,667,Anime,13324,https://bangumi.tv/subject/185943
星之梦,7.345,1.111,1281,Anime,5546,https://bangumi.tv/subject/176518
欢迎加入NHK！,8.177,1.182,144,Anime,8688,https://bangumi.tv/subject/995
星之梦～星之人～,7.5,1.112,906,Anime,3757,https://bangumi.tv/subject/178884
星之梦～雪圏球～,7.254,1.06,1616,Anime,1556,https://bangumi.tv/subject/295090
剧场总集篇孤独摇滚！ Re:,7.377,1.072,1205,Anime,2462,https://bangumi.tv/subject/436738
邻家的吸血鬼小妹,7.005,0.994,2573,Anime,4974,https://bangumi.tv/subject/241158
缘之空,6.619,1.483,4631,Anime,14245,https://bangumi.tv/subject/7157
精灵使的剑舞,5.81,1.263,8433,Anime,4399,https://bangumi.tv/subject/79226
奇巧计程车,8.534,1.006,41,Anime,20958,https://bangumi.tv/subject/325285
死亡笔记,8.399,1.068,65,Anime,24778,https://bangumi.tv/subject/1773
偶像荣耀,6.918,1.116,2933,Anime,1720,https://bangumi.tv/subject/296151
JOJO的奇妙冒险 星尘斗士 埃及篇,8.236,1.016,112,Anime,17391,https://bangumi.tv/subject/113292
JOJO的奇妙冒险 石之海,7.236,1.105,1658,Anime,9826,https://bangumi.tv/subject/332261
JOJO的奇妙冒险 石之海 第2部分,6.994,1.092,2620,Anime,6451,https://bangumi.tv/subject/375913
JOJO的奇妙冒险 黄金之风,7.983,0.99,244,Anime,15219,https://bangumi.tv/subject/235128
JOJO的奇妙冒险 星尘斗士,8.029,1.026,216,Anime,17257,https://bangumi.tv/subject/85631
JOJO的奇妙冒险 不灭钻石,7.819,0.977,382,Anime,15031,https://bangumi.tv/subject/150490
进击的巨人,8.215,1.208,121,Anime,30322,https://bangumi.tv/subject/55770
链锯人,6.855,1.218,3241,Anime,18276,https://bangumi.tv/subject/321885
莉可丽丝,6.289,1.535,6571,Anime,19689,https://bangumi.tv/subject/364450
斩·赤红之瞳！,6.61,1.371,4684,Anime,11079,https://bangumi.tv/subject/94244
鬼灭之刃,7.273,1.149,1532,Anime,21026,https://bangumi.tv/subject/245665
命运石之门 0,8.215,1.226,122,Anime,15548,https://bangumi.tv/subject/129807
ISLAND,5.825,1.395,8369,Anime,3632,https://bangumi.tv/subject/175404
夏日重现,7.475,1.12,966,Anime,19627,https://bangumi.tv/subject/326895
游戏人生,7.752,1.165,466,Anime,24563,https://bangumi.tv/subject/79227
命运石之门,8.844,1.151,8,Anime,38973,https://bangumi.tv/subject/10380
你的名字。,8.071,1.142,191,Anime,33337,https://bangumi.tv/subject/160209
BanG Dream! Morfonication,6.355,1.134,6040,Anime,1186,https://bangumi.tv/subject/385928
赛马娘 Pretty Derby 新时代之门,7.519,0.941,870,Anime,3856,https://bangumi.tv/subject/472620
D4DJ First Mix,6.628,1.233,4290,Anime,497,https://bangumi.tv/subject/299372
剧场版 BanG Dream! Poppin'Dream！,7.106,1.166,2146,Anime,1082,https://bangumi.tv/subject/305059
BanG Dream! Episode of Roselia Ⅱ : Song I am.,6.641,1.168,4338,Anime,1025,https://bangumi.tv/subject/315490
BanG Dream! 少女乐团派对！5周年纪念动画 -CiRCLE THANKS PARTY!-,7.05,1.262,2388,Anime,496,https://bangumi.tv/subject/373931
BanG Dream! FILM LIVE,7.104,1.124,2154,Anime,1126,https://bangumi.tv/subject/279219
剧场版 少女☆歌剧 Revue Starlight,8.524,1.298,42,Anime,10720,https://bangumi.tv/subject/294135
少女☆歌剧 Revue Starlight,7.915,1.224,292,Anime,16051,https://bangumi.tv/subject/214265
BanG Dream! 第二季,7.296,1.147,1456,Anime,4172,https://bangumi.tv/subject/246429
BanG Dream! 第三季,7.361,1.085,1245,Anime,3475,https://bangumi.tv/subject/246430
BanG Dream! 少女乐团派对！☆PICO,7.493,1.056,926,Anime,3055,https://bangumi.tv/subject/246431
22/7,5.954,1.325,7844,Anime,2306,https://bangumi.tv/subject/220445
LoveLive! Sunshine!!,6.537,1.276,5117,Anime,3472,https://bangumi.tv/subject/165553
BanG Dream! It's MyGO!!!!!,7.959,1.617,263,Anime,30391,https://bangumi.tv/subject/428735
Remember11：无限轮回的时光,8.845,1.292,14,Game,4342,https://bangumi.tv/subject/1127
